alpha,n_iterations,n_reps,labeling,value
0.5,100,10,[ 38 7 10 18 31 8 5 20 36 6 33 27 30 13 37 11 22 19 35 29 14 32 39 28 16 21 34 24 26 12 9 1 25 17 4 23 3 15 2 ],10
0.5,100,10,[ 20 12 2 4 26 9 36 16 22 7 28 39 37 17 31 8 33 3 38 25 13 30 32 24 6 21 27 18 35 5 14 19 34 15 1 29 11 23 10 ],9
0.5,100,10,[ 19 16 6 14 28 3 5 10 37 11 39 33 35 15 26 4 29 1 36 25 7 24 32 23 21 20 30 22 31 9 17 13 27 2 18 34 8 38 12 ],8
0.5,100,10,[ 20 17 2 13 34 9 18 14 37 7 23 33 38 4 29 11 28 16 39 35 12 31 27 21 24 26 32 19 15 1 5 6 22 10 36 30 8 25 3 ],8
0.5,100,10,[ 38 12 9 13 35 2 10 16 26 11 25 33 31 5 29 3 8 1 22 21 19 27 36 30 15 20 23 32 28 17 18 37 34 14 4 39 6 24 7 ],8
0.55,10,10,[ 8 30 13 32 23 29 14 22 20 31 11 5 15 6 9 35 16 33 3 4 10 1 2 27 7 36 12 21 17 38 18 24 34 25 37 39 28 19 26 ],8
0.55,10,10,[ 37 7 31 9 36 12 11 15 20 5 38 28 39 16 35 14 33 3 30 32 17 25 29 10 8 22 34 21 27 1 18 13 26 19 6 24 2 23 4 ],6
0.55,10,10,[ 37 7 31 9 36 12 11 15 20 5 38 28 39 16 35 14 33 3 30 32 17 25 29 10 8 22 34 21 27 1 18 13 26 19 6 24 2 23 4 ],6
0.55,10,10,[ 37 7 31 9 36 12 11 15 20 5 38 28 39 16 35 14 33 3 30 32 17 25 29 10 8 22 34 21 27 1 18 13 26 19 6 24 2 23 4 ],6
0.55,10,10,[ 37 7 31 9 36 12 11 15 20 5 38 28 39 16 35 14 33 3 30 32 17 25 29 10 8 22 34 21 27 1 18 13 26 19 6 24 2 23 4 ],6
0.55,10,10,[ 16 18 2 14 28 34 17 9 38 13 1 4 36 15 31 3 33 5 27 32 6 29 23 24 22 35 37 21 10 8 12 19 26 11 39 30 7 20 25 ],8
0.55,10,10,[ 16 18 2 14 28 34 17 9 38 13 1 4 36 15 31 3 33 5 27 32 6 29 23 24 22 35 37 21 10 8 12 19 26 11 39 30 7 20 25 ],8
0.55,10,10,[ 16 18 2 14 28 34 17 9 38 13 1 4 36 15 31 3 33 5 27 32 6 29 23 24 22 35 37 21 10 8 12 19 26 11 39 30 7 20 25 ],8
0.55,10,10,[ 16 18 2 14 28 34 17 9 38 13 1 4 36 15 31 3 33 5 27 32 6 29 23 24 22 35 37 21 10 8 12 19 26 11 39 30 7 20 25 ],8
0.55,10,10,[ 21 18 37 7 27 6 34 4 39 14 23 30 29 35 31 10 38 3 33 32 12 28 26 15 17 24 25 16 13 5 20 11 22 9 36 8 2 19 1 ],6
0.55,50,10,[ 21 18 37 7 27 6 34 4 39 14 23 30 29 35 31 10 38 3 33 32 12 28 26 15 17 24 25 16 13 5 20 11 22 9 36 8 2 19 1 ],6
0.55,50,10,[ 11 19 4 9 27 38 17 5 39 6 7 12 24 22 26 10 33 2 37 36 20 23 34 28 25 30 32 21 14 1 18 13 8 3 31 35 16 15 29 ],10
0.55,50,10,[ 12 16 10 4 33 37 19 13 39 9 14 8 32 2 28 6 25 15 26 24 36 22 35 38 21 27 31 18 5 3 20 7 23 1 29 34 11 17 30 ],8
0.55,50,10,[ 28 8 7 3 24 12 15 1 21 11 39 34 36 20 32 14 25 16 31 33 17 35 38 26 6 27 30 22 29 10 23 4 9 18 2 37 5 19 13 ],8
0.55,50,10,[ 25 9 15 2 24 11 19 1 20 12 38 30 28 16 21 13 36 5 31 26 17 22 39 35 7 37 33 23 29 8 18 14 3 32 4 34 6 27 10 ],9
0.55,50,10,[ 20 15 8 9 25 10 13 5 37 14 28 30 32 17 39 7 34 16 31 36 18 26 35 24 22 27 29 19 38 1 21 3 6 2 11 33 4 23 12 ],9
0.55,50,10,[ 4 38 37 9 24 35 5 14 25 1 12 7 36 20 29 6 27 17 33 26 19 39 30 3 16 22 32 21 15 11 18 10 31 13 34 2 8 23 28 ],6
0.55,50,10,[ 23 16 15 3 24 12 9 10 29 4 34 33 32 20 39 7 36 14 28 31 22 21 37 27 19 38 26 17 30 6 18 5 11 1 13 35 2 25 8 ],9
0.55,50,10,[ 10 17 8 35 23 37 18 1 34 6 4 13 39 14 27 3 31 20 30 36 12 25 21 32 16 26 38 24 5 2 7 11 22 9 28 33 15 19 29 ],8
0.55,50,10,[ 31 3 1 34 32 13 9 6 23 16 37 28 39 8 22 4 38 17 26 29 19 15 24 27 11 20 36 18 30 10 14 5 33 35 2 25 12 21 7 ],8
0.55,100,10,[ 5 8 17 19 37 26 22 4 28 11 2 10 38 21 25 12 3 15 1 30 23 36 33 35 18 32 24 34 7 16 20 29 9 6 31 39 14 13 27 ],10
0.55,100,10,[ 11 13 9 24 36 29 12 18 26 2 3 4 39 20 35 5 32 16 31 38 21 6 28 25 15 30 34 22 8 1 14 7 10 19 33 37 17 23 27 ],9
0.55,100,10,[ 19 12 4 30 26 6 37 31 33 8 28 36 39 1 5 38 29 2 25 22 13 15 17 20 18 24 14 23 32 7 9 10 21 34 3 27 35 16 11 ],8
0.55,100,10,[ 21 12 16 7 22 36 18 14 26 4 9 6 33 1 38 8 23 2 34 24 15 28 31 32 37 35 29 19 10 3 17 13 39 11 30 27 5 20 25 ],10
0.55,100,10,[ 30 31 5 23 33 3 15 35 19 16 29 37 38 27 6 32 39 17 36 2 20 11 9 26 7 24 10 18 34 8 25 1 4 22 13 14 28 21 12 ],8
0.55,100,10,[ 19 8 20 1 28 32 22 9 31 15 7 4 36 18 25 2 35 5 34 39 23 26 30 33 21 38 27 13 11 3 14 16 6 10 29 37 12 17 24 ],10
0.55,100,10,[ 16 10 7 18 28 27 17 11 31 3 15 2 29 1 35 13 14 5 25 26 4 39 36 24 20 30 32 21 9 6 22 38 23 8 34 37 12 19 33 ],8
0.55,100,10,[ 25 13 33 26 23 7 5 37 28 30 38 31 16 6 11 34 8 24 3 4 2 1 15 12 18 21 9 19 29 39 32 36 17 27 10 22 35 20 14 ],8
0.55,100,10,[ 22 9 15 30 35 38 18 36 19 6 37 5 28 12 16 1 26 17 31 27 13 14 23 4 2 39 34 20 33 7 3 8 32 29 11 25 10 21 24 ],9
0.55,100,10,[ 24 7 5 38 22 9 12 34 23 1 33 30 28 18 15 16 20 14 31 35 17 11 3 27 10 25 39 29 26 6 19 4 37 36 2 32 8 21 13 ],10
0.6,10,10,[ 10 16 18 15 29 32 23 8 2 9 14 13 26 17 34 3 33 6 37 36 19 28 27 7 20 35 39 21 1 4 12 24 30 11 31 25 5 22 38 ],6
0.6,10,10,[ 26 11 38 18 17 9 7 1 22 8 28 32 29 13 25 14 36 2 37 27 16 39 35 19 31 24 34 20 33 4 15 10 30 12 6 23 5 21 3 ],6
0.6,10,10,[ 26 11 38 18 17 9 7 1 22 8 28 32 29 13 25 14 36 2 37 27 16 39 35 19 31 24 34 20 33 4 15 10 30 12 6 23 5 21 3 ],6
0.6,10,10,[ 26 11 38 18 17 9 7 1 22 8 28 32 29 13 25 14 36 2 37 27 16 39 35 19 31 24 34 20 33 4 15 10 30 12 6 23 5 21 3 ],6
0.6,10,10,[ 26 11 38 18 17 9 7 1 22 8 28 32 29 13 25 14 36 2 37 27 16 39 35 19 31 24 34 20 33 4 15 10 30 12 6 23 5 21 3 ],6
0.6,10,10,[ 18 1 5 13 37 30 20 10 25 12 15 2 38 24 29 3 31 4 35 27 23 36 26 28 16 32 33 22 9 8 6 14 17 11 34 19 7 21 39 ],5
0.6,10,10,[ 18 1 5 13 37 30 20 10 25 12 15 2 38 24 29 3 31 4 35 27 23 36 26 28 16 32 33 22 9 8 6 14 17 11 34 19 7 21 39 ],5
0.6,10,10,[ 18 1 5 13 37 30 20 10 25 12 15 2 38 24 29 3 31 4 35 27 23 36 26 28 16 32 33 22 9 8 6 14 17 11 34 19 7 21 39 ],5
0.6,10,10,[ 18 1 5 13 37 30 20 10 25 12 15 2 38 24 29 3 31 4 35 27 23 36 26 28 16 32 33 22 9 8 6 14 17 11 34 19 7 21 39 ],5
0.6,10,10,[ 18 7 10 12 32 37 20 3 24 5 8 6 38 16 39 1 36 2 27 34 19 33 25 26 17 28 35 22 4 11 13 9 30 15 29 23 14 21 31 ],6
0.6,50,10,[ 20 16 11 39 30 37 17 8 28 6 4 2 32 13 27 7 29 12 38 35 14 25 34 26 18 24 33 22 9 10 15 1 21 3 31 23 5 19 36 ],7
0.6,50,10,[ 31 11 15 22 24 9 17 21 29 8 32 30 36 18 2 14 37 1 33 34 12 10 3 25 16 27 38 26 35 6 19 13 39 23 5 28 7 20 4 ],9
0.6,50,10,[ 19 5 8 11 33 2 10 14 23 9 39 32 28 20 31 16 37 17 26 35 21 30 36 27 3 25 34 24 29 6 18 1 13 15 4 38 7 22 12 ],7
0.6,50,10,[ 21 14 12 23 38 35 15 11 31 9 5 2 26 4 39 7 33 8 37 29 25 3 36 30 19 27 34 24 13 1 6 20 17 16 32 22 10 18 28 ],8
0.6,50,10,[ 35 19 1 17 34 14 18 8 32 6 37 31 39 24 23 7 28 11 36 33 30 26 38 22 20 25 27 16 29 9 2 3 15 4 13 12 5 21 10 ],7
0.6,50,10,[ 24 6 7 15 36 12 33 5 17 2 35 31 38 16 29 3 37 1 27 34 18 39 26 22 25 20 30 19 32 9 13 8 28 4 14 23 11 21 10 ],7
0.6,50,10,[ 17 13 11 12 39 32 21 9 24 5 4 8 29 18 25 3 37 2 27 35 19 30 28 26 16 31 36 23 1 7 20 14 10 6 33 34 15 22 38 ],8
0.6,50,10,[ 1 5 18 15 26 32 20 6 24 9 7 2 35 19 29 3 30 12 28 25 22 33 27 31 16 38 36 23 13 10 17 4 8 14 37 39 11 21 34 ],8
0.6,50,10,[ 16 15 8 5 31 35 14 1 29 25 2 10 39 19 26 13 28 3 34 30 17 27 37 24 18 23 38 21 4 6 22 12 9 11 33 32 7 20 36 ],8
0.6,50,10,[ 16 15 5 4 25 37 13 10 24 2 9 11 39 17 33 14 29 3 32 27 19 30 34 26 7 23 36 22 12 1 18 21 38 6 35 31 8 20 28 ],8
0.6,100,10,[ 16 17 1 12 27 34 29 6 3 2 14 11 28 19 23 5 35 4 38 26 20 32 30 22 13 21 37 24 9 7 15 25 31 8 39 33 10 18 36 ],8
0.6,100,10,[ 19 15 2 6 25 38 16 13 35 1 4 14 30 11 32 8 28 3 29 31 10 39 37 23 21 26 34 24 7 9 20 17 22 12 27 33 5 18 36 ],9
0.6,100,10,[ 23 11 3 15 28 1 10 5 32 8 25 24 26 18 37 7 29 13 38 30 20 36 35 27 21 34 31 22 17 6 19 4 9 14 39 33 12 16 2 ],9
0.6,100,10,[ 22 7 5 6 30 36 31 14 34 2 16 9 35 11 33 4 25 12 28 32 10 26 38 23 20 21 29 19 3 8 17 1 24 13 37 27 15 18 39 ],10
0.6,100,10,[ 19 17 6 11 31 39 12 2 34 3 9 10 26 18 29 5 36 1 25 28 20 32 30 27 23 24 33 21 14 8 16 13 7 15 38 35 4 22 37 ],11
0.6,100,10,[ 24 5 15 13 27 38 17 7 21 14 4 6 39 8 35 9 23 16 31 25 22 36 30 37 2 33 29 20 10 3 18 1 34 12 32 28 11 19 26 ],9
0.6,100,10,[ 20 3 12 2 32 6 19 9 25 11 30 38 39 21 29 4 7 15 1 36 18 27 24 33 14 28 31 23 34 13 17 26 35 16 5 37 8 22 10 ],7
0.6,100,10,[ 7 33 39 35 24 30 17 27 22 26 11 9 5 21 1 28 4 37 12 13 19 3 8 16 32 25 2 20 10 38 23 29 6 18 36 14 31 15 34 ],7
0.6,100,10,[ 19 17 10 1 24 3 20 12 25 11 26 27 38 18 31 4 29 6 32 28 16 39 34 37 14 35 30 21 33 9 15 13 8 23 5 36 7 22 2 ],7
0.6,100,10,[ 25 16 15 14 24 5 18 10 32 7 28 27 37 19 33 11 26 13 38 35 22 36 31 39 21 34 30 20 29 2 8 4 12 17 6 1 9 23 3 ],7
0.65,10,10,[ 34 8 9 16 28 10 5 11 18 13 29 30 37 15 38 3 33 7 36 31 17 32 26 23 25 22 39 20 35 4 14 27 24 12 2 21 6 19 1 ],6
0.65,10,10,[ 27 14 6 16 26 3 15 11 23 2 35 34 39 19 28 4 31 13 36 30 21 37 29 25 5 22 32 24 38 8 17 1 12 18 10 33 9 20 7 ],7
0.65,10,10,[ 27 14 6 16 26 3 15 11 23 2 35 34 39 19 28 4 31 13 36 30 21 37 29 25 5 22 32 24 38 8 17 1 12 18 10 33 9 20 7 ],7
0.65,10,10,[ 27 14 6 16 26 3 15 11 23 2 35 34 39 19 28 4 31 13 36 30 21 37 29 25 5 22 32 24 38 8 17 1 12 18 10 33 9 20 7 ],7
0.65,10,10,[ 27 14 6 16 26 3 15 11 23 2 35 34 39 19 28 4 31 13 36 30 21 37 29 25 5 22 32 24 38 8 17 1 12 18 10 33 9 20 7 ],7
0.65,10,10,[ 27 14 6 16 26 3 15 11 23 2 35 34 39 19 28 4 31 13 36 30 21 37 29 25 5 22 32 24 38 8 17 1 12 18 10 33 9 20 7 ],7
0.65,10,10,[ 30 14 17 5 39 7 18 4 3 10 34 38 37 13 31 6 27 20 32 33 15 21 29 26 16 25 35 24 36 9 19 2 22 1 11 28 12 23 8 ],7
0.65,10,10,[ 30 14 17 5 39 7 18 4 3 10 34 38 37 13 31 6 27 20 32 33 15 21 29 26 16 25 35 24 36 9 19 2 22 1 11 28 12 23 8 ],7
0.65,10,10,[ 30 14 17 5 39 7 18 4 3 10 34 38 37 13 31 6 27 20 32 33 15 21 29 26 16 25 35 24 36 9 19 2 22 1 11 28 12 23 8 ],7
0.65,10,10,[ 30 14 17 5 39 7 18 4 3 10 34 38 37 13 31 6 27 20 32 33 15 21 29 26 16 25 35 24 36 9 19 2 22 1 11 28 12 23 8 ],7
0.65,50,10,[ 23 12 5 4 32 1 17 7 24 10 31 33 30 20 28 14 35 2 37 29 19 26 38 27 16 25 39 22 36 11 18 15 9 13 3 34 8 21 6 ],8
0.65,50,10,[ 25 17 12 10 36 1 6 13 30 3 34 28 31 11 26 5 35 16 37 32 14 27 33 24 19 21 38 18 39 8 20 9 23 15 4 29 7 22 2 ],7
0.65,50,10,[ 34 16 15 11 36 10 17 6 25 9 26 39 38 20 24 7 27 12 31 30 22 32 35 23 14 29 28 19 37 13 18 2 4 8 1 33 5 21 3 ],6
0.65,50,10,[ 18 15 7 14 39 37 17 1 23 3 8 13 36 22 27 10 29 4 35 28 24 32 30 26 16 25 38 20 5 11 19 12 6 2 31 34 9 21 33 ],7
0.65,50,10,[ 18 7 6 13 30 3 16 2 21 8 34 36 35 17 29 4 33 9 39 28 20 31 26 23 10 27 38 22 37 5 15 25 32 14 1 24 11 19 12 ],7
0.65,50,10,[ 17 18 4 11 28 1 23 7 33 12 34 27 36 6 26 3 37 13 38 30 14 25 24 35 21 31 32 19 39 8 15 2 22 16 5 29 10 20 9 ],8
0.65,50,10,[ 25 17 1 5 34 12 15 9 36 6 38 35 31 16 39 7 27 11 33 37 14 20 29 26 18 22 30 21 32 4 19 3 23 2 10 28 13 24 8 ],7
0.65,50,10,[ 22 11 9 16 39 37 18 1 21 8 3 7 38 15 28 12 27 6 29 26 17 30 35 24 14 34 33 23 10 2 5 20 31 13 36 25 4 19 32 ],7
0.65,50,10,[ 24 17 15 5 39 35 16 2 6 1 7 8 30 18 26 9 33 3 38 31 19 23 36 27 22 25 37 21 4 12 20 13 29 10 34 28 11 14 32 ],8
0.65,50,10,[ 22 14 4 13 26 38 19 9 24 6 11 5 36 15 29 12 27 21 34 28 17 33 30 39 16 32 31 23 8 7 18 2 1 3 35 25 10 20 37 ],7
0.65,100,10,[ 28 14 3 4 27 7 6 15 23 5 35 31 30 12 34 13 37 1 33 29 19 25 38 24 16 22 36 20 39 10 17 9 32 18 8 26 11 21 2 ],7
0.65,100,10,[ 23 8 9 12 37 35 16 1 15 3 2 7 28 17 29 6 31 4 39 36 19 32 30 21 27 24 33 22 11 5 18 13 26 14 34 25 10 20 38 ],7
0.65,100,10,[ 20 6 4 8 31 2 16 14 24 11 39 36 30 17 37 13 38 9 29 28 21 27 34 23 15 26 35 22 32 5 10 1 33 19 3 25 7 18 12 ],8
0.65,100,10,[ 18 15 1 7 23 3 14 9 34 8 39 28 37 16 36 12 32 2 35 27 17 26 30 29 22 24 38 20 31 6 19 11 25 5 13 33 4 21 10 ],8
0.65,100,10,[ 20 17 3 12 22 34 13 1 37 10 9 8 29 16 27 4 33 2 39 31 15 36 38 26 21 25 32 23 11 5 19 14 24 6 30 28 7 18 35 ],8
0.65,100,10,[ 32 2 7 11 27 8 15 6 10 12 34 29 36 17 31 4 30 3 39 37 16 35 28 23 22 24 38 20 33 1 19 13 25 18 9 26 14 21 5 ],7
0.65,100,10,[ 21 14 8 7 26 6 15 13 37 10 27 39 36 16 33 11 28 12 38 29 19 24 34 23 20 25 35 22 32 2 17 5 30 9 1 31 4 18 3 ],7
0.65,100,10,[ 15 20 16 13 32 36 17 3 33 11 6 7 34 22 35 12 29 1 27 28 25 38 39 26 19 24 37 23 8 5 18 9 14 4 31 2 10 21 30 ],7
0.65,100,10,[ 13 16 18 15 27 34 14 3 4 8 11 7 30 12 23 2 31 10 38 39 17 32 29 25 22 33 37 21 6 5 19 24 28 1 36 26 9 20 35 ],7
0.65,100,10,[ 22 16 5 13 30 3 12 6 28 4 33 27 32 18 26 11 37 23 35 39 15 29 38 24 17 25 31 19 36 9 21 8 1 2 10 34 14 20 7 ],8
0.7,10,10,[ 24 10 13 14 31 6 17 12 23 1 36 38 30 19 27 4 33 16 35 28 21 32 34 25 15 26 37 18 39 9 20 7 2 3 11 29 8 22 5 ],8
0.7,10,10,[ 24 10 13 14 31 6 17 12 23 1 36 38 30 19 27 4 33 16 35 28 21 32 34 25 15 26 37 18 39 9 20 7 2 3 11 29 8 22 5 ],8
0.7,10,10,[ 38 14 15 5 32 2 19 8 6 1 39 30 33 16 34 11 37 4 29 27 13 35 31 23 18 26 28 21 36 7 17 12 24 22 9 25 10 20 3 ],7
0.7,10,10,[ 38 14 15 5 32 2 19 8 6 1 39 30 33 16 34 11 37 4 29 27 13 35 31 23 18 26 28 21 36 7 17 12 24 22 9 25 10 20 3 ],7
0.7,10,10,[ 38 14 15 5 32 2 19 8 6 1 39 30 33 16 34 11 37 4 29 27 13 35 31 23 18 26 28 21 36 7 17 12 24 22 9 25 10 20 3 ],7
0.7,10,10,[ 38 14 15 5 32 2 19 8 6 1 39 30 33 16 34 11 37 4 29 27 13 35 31 23 18 26 28 21 36 7 17 12 24 22 9 25 10 20 3 ],7
0.7,10,10,[ 20 15 16 5 33 39 19 10 27 2 7 4 34 14 32 1 37 22 30 31 11 26 24 25 9 29 36 23 12 3 17 8 21 13 38 28 6 18 35 ],6
0.7,10,10,[ 20 15 16 5 33 39 19 10 27 2 7 4 34 14 32 1 37 22 30 31 11 26 24 25 9 29 36 23 12 3 17 8 21 13 38 28 6 18 35 ],6
0.7,10,10,[ 20 15 16 5 33 39 19 10 27 2 7 4 34 14 32 1 37 22 30 31 11 26 24 25 9 29 36 23 12 3 17 8 21 13 38 28 6 18 35 ],6
0.7,10,10,[ 20 15 16 5 33 39 19 10 27 2 7 4 34 14 32 1 37 22 30 31 11 26 24 25 9 29 36 23 12 3 17 8 21 13 38 28 6 18 35 ],6
0.7,50,10,[ 37 13 14 12 33 4 17 7 21 5 35 30 34 18 26 8 31 1 32 39 19 23 38 25 6 24 36 22 28 3 16 10 29 15 2 27 11 20 9 ],7
0.7,50,10,[ 30 14 9 8 20 2 16 11 36 7 32 29 37 18 25 1 38 10 35 39 17 24 34 26 22 23 31 21 33 6 15 3 27 13 5 28 12 19 4 ],7
0.7,50,10,[ 38 11 13 15 29 3 17 8 4 9 37 34 32 16 33 2 35 6 39 36 12 28 27 25 18 23 26 20 31 10 19 24 22 14 1 30 5 21 7 ],6
0.7,50,10,[ 21 9 15 13 35 12 19 3 38 6 34 39 37 18 26 2 29 11 31 32 16 24 23 27 17 30 36 22 33 8 14 5 25 1 7 28 10 20 4 ],6
0.7,50,10,[ 18 14 10 17 27 35 16 2 31 9 6 4 30 13 39 5 28 8 33 36 11 37 34 24 22 25 38 23 7 3 19 1 21 15 32 26 12 20 29 ],7
0.7,50,10,[ 19 9 14 13 35 37 15 12 23 10 2 7 34 16 26 6 38 21 29 32 18 24 39 28 4 27 36 22 5 1 17 8 30 3 33 25 11 20 31 ],7
0.7,50,10,[ 19 15 14 22 30 37 18 5 7 1 8 2 39 16 27 10 36 3 31 26 17 33 29 24 23 35 32 21 12 4 13 11 28 9 38 25 6 20 34 ],8
0.7,50,10,[ 23 13 14 5 32 39 16 8 6 11 1 12 37 15 36 4 38 10 30 31 17 27 29 33 20 26 35 22 9 7 18 21 24 3 28 25 2 19 34 ],7
0.7,50,10,[ 23 9 14 15 37 6 18 10 29 2 38 34 30 13 26 11 31 17 39 32 12 24 35 28 16 25 36 20 33 5 19 7 21 1 8 27 3 22 4 ],7
0.7,50,10,[ 36 12 16 24 28 9 13 1 4 5 38 33 30 15 39 2 37 21 35 34 14 11 29 25 18 27 31 20 32 8 17 10 23 19 7 26 6 22 3 ],8
0.7,100,10,[ 22 13 12 19 38 32 14 1 6 3 8 2 31 17 26 10 35 4 37 28 16 36 30 24 27 23 33 20 7 9 18 11 25 15 39 29 5 21 34 ],7
0.7,100,10,[ 33 16 14 13 29 3 19 2 27 5 37 32 30 12 23 8 31 6 35 39 15 22 38 25 18 26 36 17 34 7 20 21 4 1 11 28 10 24 9 ],7
0.7,100,10,[ 20 9 8 15 29 33 16 14 19 11 5 6 35 17 38 13 36 1 34 31 18 37 32 23 27 25 28 21 3 7 2 12 26 10 39 24 4 22 30 ],7
0.7,100,10,[ 22 8 14 12 35 38 18 11 24 3 6 9 33 7 26 10 30 20 31 39 23 25 28 27 16 29 36 21 5 1 17 2 15 4 34 32 13 19 37 ],8
0.7,100,10,[ 17 15 4 9 21 39 13 11 23 7 5 3 31 16 28 12 36 1 32 38 18 24 37 25 34 26 33 22 8 2 20 10 30 6 35 27 14 19 29 ],7
0.7,100,10,[ 21 14 13 15 27 36 16 1 31 9 5 7 29 17 23 4 34 2 37 32 12 28 39 26 20 25 38 22 11 3 19 10 24 6 35 30 8 18 33 ],7
0.7,100,10,[ 35 13 11 12 31 8 15 9 6 10 39 37 32 17 27 5 34 21 33 30 16 24 38 28 19 23 36 22 29 4 18 2 26 14 3 25 1 20 7 ],7
0.7,100,10,[ 22 16 10 13 39 31 28 8 2 9 6 1 29 17 38 5 32 3 35 37 14 25 34 24 18 20 36 23 4 7 19 12 26 15 30 27 11 21 33 ],8
0.7,100,10,[ 29 15 9 13 39 2 14 5 7 1 36 34 33 16 28 8 26 11 37 32 17 35 30 22 19 24 31 21 38 12 18 3 27 20 10 25 6 23 4 ],7
0.7,100,10,[ 36 9 12 14 38 8 1 7 23 11 34 33 35 18 25 4 30 17 29 39 19 27 24 28 15 22 37 21 32 3 16 5 31 2 10 26 13 20 6 ],8
0.75,10,10,[ 12 16 14 13 34 36 26 8 6 1 2 9 35 17 28 10 31 23 32 37 15 29 30 24 18 21 38 19 7 3 20 4 27 5 39 25 11 22 33 ],5
0.75,10,10,[ 12 16 14 13 34 36 26 8 6 1 2 9 35 17 28 10 31 23 32 37 15 29 30 24 18 21 38 19 7 3 20 4 27 5 39 25 11 22 33 ],5
0.75,10,10,[ 23 15 14 8 34 36 19 11 1 9 2 7 35 16 27 12 32 3 31 39 17 25 33 29 18 26 38 22 6 4 21 10 24 5 30 28 13 20 37 ],7
0.75,10,10,[ 23 15 14 8 34 36 19 11 1 9 2 7 35 16 27 12 32 3 31 39 17 25 33 29 18 26 38 22 6 4 21 10 24 5 30 28 13 20 37 ],7
0.75,10,10,[ 23 15 14 8 34 36 19 11 1 9 2 7 35 16 27 12 32 3 31 39 17 25 33 29 18 26 38 22 6 4 21 10 24 5 30 28 13 20 37 ],7
0.75,10,10,[ 23 15 14 8 34 36 19 11 1 9 2 7 35 16 27 12 32 3 31 39 17 25 33 29 18 26 38 22 6 4 21 10 24 5 30 28 13 20 37 ],7
0.75,10,10,[ 29 15 14 9 32 6 16 13 25 4 33 39 38 12 28 11 35 21 30 37 17 24 31 26 19 22 36 23 34 3 18 7 5 10 2 27 1 20 8 ],6
0.75,10,10,[ 29 15 14 9 32 6 16 13 25 4 33 39 38 12 28 11 35 21 30 37 17 24 31 26 19 22 36 23 34 3 18 7 5 10 2 27 1 20 8 ],6
0.75,10,10,[ 29 15 14 9 32 6 16 13 25 4 33 39 38 12 28 11 35 21 30 37 17 24 31 26 19 22 36 23 34 3 18 7 5 10 2 27 1 20 8 ],6
0.75,10,10,[ 29 15 14 9 32 6 16 13 25 4 33 39 38 12 28 11 35 21 30 37 17 24 31 26 19 22 36 23 34 3 18 7 5 10 2 27 1 20 8 ],6
0.75,50,10,[ 14 16 10 12 33 37 18 11 8 9 5 4 36 17 38 1 34 22 35 39 15 26 29 25 20 28 30 23 6 7 19 3 24 13 32 27 2 21 31 ],7
0.75,50,10,[ 17 15 10 14 34 35 18 6 8 2 7 5 30 16 24 4 38 22 37 36 13 29 31 27 25 26 39 19 3 1 21 9 23 12 32 28 11 20 33 ],7
0.75,50,10,[ 13 16 9 12 35 22 17 6 37 5 4 3 39 15 36 10 33 1 31 29 18 25 30 24 20 26 34 23 8 2 19 11 28 14 38 27 7 21 32 ],8
0.75,50,10,[ 29 12 11 13 31 7 15 14 3 4 36 38 35 17 33 1 32 5 39 34 16 27 28 23 20 24 37 22 30 6 18 21 25 10 2 26 9 19 8 ],8
0.75,50,10,[ 18 9 12 13 34 35 22 8 2 5 6 3 30 15 26 11 37 7 39 33 17 29 28 27 24 31 38 20 4 1 16 19 25 10 36 23 14 21 32 ],7
0.75,50,10,[ 31 12 14 11 34 4 19 2 1 10 32 38 39 16 23 8 33 7 30 36 15 25 37 24 17 28 29 18 35 6 20 21 26 13 5 27 3 22 9 ],7
0.75,50,10,[ 19 12 14 10 28 39 15 11 1 8 9 7 36 17 35 2 37 3 33 29 16 30 32 25 23 24 31 21 4 5 18 22 26 13 38 27 6 20 34 ],9
0.75,50,10,[ 22 14 10 11 31 39 16 15 3 1 7 6 30 13 37 2 35 21 32 34 18 28 33 24 23 27 29 20 5 8 17 9 26 12 38 25 4 19 36 ],8
0.75,50,10,[ 18 14 9 12 30 1 15 4 6 3 38 34 33 16 26 10 32 7 35 39 17 27 36 24 19 29 37 21 31 8 20 23 25 13 5 28 11 22 2 ],8
0.75,50,10,[ 20 16 12 13 37 38 21 11 6 3 2 9 35 15 27 8 39 24 31 34 14 25 29 26 19 28 36 23 4 5 18 1 22 7 33 30 10 17 32 ],7
0.75,100,10,[ 32 15 11 12 35 2 19 3 5 10 34 30 37 16 26 4 39 20 33 38 14 27 36 23 22 28 29 18 31 8 17 9 24 13 1 25 6 21 7 ],8
0.75,100,10,[ 13 12 15 14 30 39 18 6 1 4 8 3 37 17 27 10 29 22 38 33 16 32 36 26 21 25 31 23 2 5 20 7 24 9 35 28 11 19 34 ],7
0.75,100,10,[ 20 10 12 14 38 2 16 13 1 4 39 30 32 11 34 5 35 21 29 36 18 33 28 25 23 27 37 22 31 9 17 3 26 15 6 24 7 19 8 ],7
0.75,100,10,[ 23 10 14 7 34 1 19 13 24 8 33 36 31 16 26 12 32 21 35 39 15 29 38 25 17 28 30 20 37 5 18 3 6 11 2 27 4 22 9 ],7
0.75,100,10,[ 20 13 14 11 32 36 16 4 3 6 9 2 35 12 33 5 34 7 31 37 18 30 28 24 23 25 29 21 8 1 17 22 27 15 39 26 10 19 38 ],8
