alpha,n_iterations,n_reps,labeling,value
0.15,10,10,[ 14 26 18 16 31 38 5 35 15 36 10 11 6 13 9 21 17 23 29 8 32 25 1 2 28 33 7 34 12 20 30 37 3 19 27 39 24 4 22 ],6
0.15,10,10,[ 14 26 18 16 31 38 5 35 15 36 10 11 6 13 9 21 17 23 29 8 32 25 1 2 28 33 7 34 12 20 30 37 3 19 27 39 24 4 22 ],6
0.15,10,10,[ 14 26 18 16 31 38 5 35 15 36 10 11 6 13 9 21 17 23 29 8 32 25 1 2 28 33 7 34 12 20 30 37 3 19 27 39 24 4 22 ],6
0.15,10,10,[ 14 26 18 16 31 38 5 35 15 36 10 11 6 13 9 21 17 23 29 8 32 25 1 2 28 33 7 34 12 20 30 37 3 19 27 39 24 4 22 ],6
0.15,10,10,[ 33 5 37 26 34 28 27 35 18 39 36 16 9 12 19 22 38 21 31 1 13 4 15 6 8 20 3 14 32 25 2 10 30 11 23 24 29 17 7 ],5
0.15,50,10,[ 7 19 18 23 21 36 31 11 28 30 14 5 13 2 17 8 26 38 10 12 16 4 27 35 6 37 15 24 25 33 20 1 9 29 3 34 22 32 39 ],6
0.15,50,10,[ 23 27 9 20 11 6 26 30 14 10 36 34 22 29 2 17 35 1 13 33 32 39 25 24 5 15 38 8 3 37 31 21 7 16 28 19 12 4 18 ],5
0.15,50,10,[ 19 24 36 1 21 7 30 18 8 16 22 13 4 39 37 15 9 31 38 23 10 32 27 28 26 12 29 6 2 33 3 20 25 14 34 17 11 5 35 ],6
0.15,50,10,[ 20 22 4 11 6 39 28 10 34 12 21 5 18 32 1 17 19 38 23 29 3 2 24 16 15 35 37 7 25 33 9 8 14 36 31 27 13 26 30 ],5
0.15,50,10,[ 8 25 11 10 34 17 35 14 18 5 21 7 32 31 20 13 16 6 23 26 15 28 36 4 9 27 2 29 3 19 30 1 24 39 33 37 12 22 38 ],5
0.15,50,10,[ 2 10 19 26 16 28 17 8 21 25 18 37 13 7 23 1 4 6 20 29 12 39 36 34 33 9 15 24 27 31 3 38 30 11 35 32 22 14 5 ],7
